,Propionibacterium_acnes,Methanosaeta_harundinacea,Hyphomicrobium_unclassified,Methanobacterium_unclassified,Circovirus_like_genome_CB_A,Gordonia_amarae,Olsenella_unclassified,Desulfobacter_postgatei,Gordonia_otitidis,Mycobacterium_fortuitum,Mycobacterium_gilvum,Gordonia_terrae,Tetrasphaera_elongata,Methanosarcina_unclassified,Subdoligranulum_unclassified,Gordonia_alkanivorans,Eggerthella_unclassified,Methanobrevibacter_unclassified,Brevibacterium_unclassified,Verrucomicrobia_bacterium_SCGC_AAA168_E21,Methanosaeta_concilii,Planctomyces_maris,Agromyces_unclassified,Nakamurella_multipartita,Bifidobacterium_longum,Dietzia_unclassified,Eudoraea_adriatica,Pseudomonas_unclassified,Acinetobacter_unclassified,Tsukamurella_unclassified,Methanolobus_unclassified,Cyanobium_unclassified,Bifidobacterium_adolescentis,Microlunatus_phosphovorus,Paracoccus_unclassified,Thiobacillus_denitrificans,Caulobacter_unclassified,Rhodopseudomonas_palustris,Leucobacter_unclassified,Desulfococcus_oleovorans,Kocuria_unclassified,Bifidobacterium_pseudocatenulatum,Lactococcus_lactis,Collinsella_aerofaciens,Methanoplanus_unclassified,Nocardioides_unclassified,Methanomethylovorans_hollandica,Corynebacterium_kroppenstedtii,Brachybacterium_unclassified,Mycobacterium_vanbaalenii
0,0.0,0.0,0.0,0.015384615384615379,0.028571428571428577,0.025384615384615387,0.0,0.0,0.0,0.0,0.0,0.03095238095238095,0.0,0.0,0.011428571428571432,0.0,0.030769230769230774,0.0,0.0,0.01923076923076923,0.0,0.0,0.0,0.03000000000000001,0.0,0.0,0.012500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.014835164835164836,0.033882783882783894,0.0,0.0,0.0,0.0,0.0,0.037606837606837605,0.0,0.03095238095238095,0.0,0.0,0.0131868131868132,0.040692640692640704,0.0,0.015384615384615379,0.0
1,0.03427350427350427,0.03787878787878788,0.006349206349206349,0.0,0.013333333333333332,0.0,0.0,0.03636363636363636,0.052380952380952375,0.0,0.02142857142857143,0.0,0.015277777777777776,0.0,0.0,0.0,0.0,0.019393939393939394,0.0,0.02922077922077922,0.017515151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02727272727272727,0.0,0.001953601953601958,0.02268398268398269,0.0,0.02922077922077922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03717881765500813,0.0,0.00852272727272727,0.0,0.0,0.02095238095238096,0.0,0.0,0.0
2,0.069020979020979,0.0,0.0,0.04572649572649574,0.0,0.0,0.030952380952380946,0.03,0.0,0.11217948717948718,0.0,0.0,0.034615384615384624,0.023333333333333334,0.0,0.0,0.019047619047619053,0.05,0.0,0.030952380952380946,0.02222222222222222,0.008547008547008548,0.0,0.038580246913580245,0.0,0.015384615384615377,0.0,0.0,0.0027777777777777775,0.008888888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.0,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,0.018648018648018648,0.034432234432234435,0.0
3,0.0,0.07883005883005882,0.0,0.0392063492063492,0.012121212121212123,0.0,0.0,0.0,0.030952380952380946,0.0,0.0101010101010101,0.0,0.019230769230769225,0.0,0.0,0.014835164835164835,0.026883116883116877,0.0,0.0,0.03241758241758243,0.0,0.0,0.0428959928959929,0.019753086419753083,0.0,0.0101010101010101,0.0053724053724053785,0.0,0.0,0.021768707482993196,0.021428571428571422,0.0,0.019047619047619053,0.0,0.0,0.005333333333333337,0.0,0.0,0.0,0.0,0.0,0.030952380952380946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.03888888888888889,0.0,0.05,0.008571428571428568,0.0,0.06004329004329005,0.0,0.0,0.024615384615384615,0.025384615384615384,0.022222222222222223,0.0,0.019230769230769225,0.02333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.046610654302962004,0.0,0.008888888888888887,0.0,0.0,0.0,0.0,0.0,0.0032323232323232336,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.01111111111111111,0.0029629629629629667,0.0,0.0,0.0,0.030952380952380946
5,0.0519047619047619,0.0070512820512820444,0.029300699300699302,0.0,0.019047619047619053,0.03787878787878788,0.0,0.0,0.0,0.0,0.016410256410256407,0.0,0.0,0.0,0.0,0.0443073593073593,0.0,0.0,0.03461538461538462,0.0,0.019444444444444438,0.018754578754578758,0.0,0.03888888888888889,0.0,0.0,0.01142857142857143,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.025,0.012121212121212121,0.0,0.022727272727272728,0.0,0.06150183150183151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.035454545454545454,0.062494172494172495,0.0,0.0,0.01666666666666667,0.01683116883116884,0.03666666666666667,0.017676767676767676,0.016507936507936506,0.0,0.03587301587301587,0.0,0.03294046231546231,0.01006993006993007,0.0,0.030952380952380946,0.018021978021978025,0.023333333333333334,0.0,0.019393939393939394,0.014444444444444437,0.012121212121212123,0.0,0.0,0.0,0.0,0.0,0.0,0.021212121212121213,0.009670329670329677,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.017676767676767676,0.0,0.0,0.0,0.0
7,0.03888888888888888,0.030000000000000006,0.0,0.036251606978879705,0.0,0.0331868131868132,0.019999999999999997,0.009696969696969699,0.0,0.0,0.0,0.0,0.0032323232323232336,0.03068398268398268,0.0,0.05873015873015872,0.0,0.005454545454545456,0.03857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769225,0.0,0.0,0.0,0.03555555555555556,0.0,0.04650793650793651,0.0,0.0,0.0,0.012121212121212123,0.0,0.018648018648018648,0.0,0.0,0.014918414918414918,0.0,0.0,0.04,0.0,0.0,0.0,0.008465608465608464,0.019047619047619053,0.0
8,0.0,0.01683116883116884,0.016,0.02333333333333333,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04571428571428572,0.016507936507936506,0.0,0.012467532467532474,0.025384615384615384,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009696969696969697,0.0,0.014918414918414918,0.017454545454545452,0.0,0.0,0.010909090909090908,0.0,0.017142857142857144,0.015,0.0,0.03666666666666667,0.0,0.0,0.0,0.022727272727272728,0.008678500986193285,0.0,0.0,0.015384615384615377,0.015384615384615377,0.0
9,0.0,0.050083250083250076,0.03787878787878788,0.0,0.030952380952380946,0.0,0.0,0.0,0.022222222222222223,0.026666666666666672,0.0,0.0,0.0,0.0,0.03888888888888889,0.0,0.03076923076923077,0.0,0.0,0.013333333333333332,0.0,0.0,0.0,0.0,0.10952380952380954,0.0,0.0,0.0,0.02333333333333333,0.0,0.0,0.0,0.0,0.026666666666666665,0.0,0.0,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.03666666666666667,0.04604166666666666,0.0,0.02095238095238096,0.0,0.026666666666666672,0.0,0.0,0.0,0.028571428571428574,0.024615384615384615,0.0,0.04807162534435262,0.0,0.03787878787878788,0.044622044622044624,0.0,0.026666666666666665,0.0,0.0,0.0,0.019047619047619053,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0251404958677686,0.038571428571428576,0.0,0.0,0.0,0.0,0.039494949494949486,0.0
11,0.03787878787878789,0.012121212121212125,0.05297418630751965,0.01527777777777778,0.022222222222222227,0.03095238095238095,0.03787878787878789,0.0,0.0,0.0,0.0,0.0,0.03461538461538463,0.027272727272727275,0.0,0.0,0.01694444444444445,0.0,0.036666666666666674,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.009645909645909646,0.0,0.013333333333333332,0.02272727272727273,0.01746031746031747,0.0398989898989899,0.0,0.0,0.011365604092876829,0.0,0.0,0.012121212121212125,0.027272727272727275,0.03928374655647384,0.0,0.0,0.01571428571428571,0.0,0.0,0.0,0.0,0.03555555555555557,0.0,0.0
